================ Training Loss (Tue Jan  9 20:02:37 2024) ================
(epoch: 92, iters: 72, time: 0.030, data: 0.003) G_GAN: 1.297 G_L1: 25.929 D_real: 0.671 D_fake: 0.228 
(epoch: 92, iters: 372, time: 0.009, data: 0.003) G_GAN: 1.240 G_L1: 25.261 D_real: 0.305 D_fake: 0.259 
(epoch: 93, iters: 264, time: 0.009, data: 0.003) G_GAN: 1.189 G_L1: 25.895 D_real: 0.865 D_fake: 0.245 
(epoch: 94, iters: 156, time: 0.009, data: 0.003) G_GAN: 1.738 G_L1: 27.403 D_real: 0.163 D_fake: 0.346 
(epoch: 95, iters: 48, time: 0.029, data: 0.002) G_GAN: 1.799 G_L1: 24.907 D_real: 0.169 D_fake: 0.413 
(epoch: 95, iters: 348, time: 0.009, data: 0.003) G_GAN: 1.525 G_L1: 24.443 D_real: 0.372 D_fake: 0.295 
(epoch: 96, iters: 240, time: 0.009, data: 0.003) G_GAN: 0.917 G_L1: 24.319 D_real: 0.309 D_fake: 0.556 
(epoch: 97, iters: 132, time: 0.009, data: 0.002) G_GAN: 1.193 G_L1: 25.454 D_real: 0.462 D_fake: 0.174 
(epoch: 98, iters: 24, time: 0.044, data: 0.002) G_GAN: 0.320 G_L1: 25.289 D_real: 1.327 D_fake: 0.146 
(epoch: 98, iters: 324, time: 0.009, data: 0.001) G_GAN: 1.981 G_L1: 23.322 D_real: 0.834 D_fake: 0.068 
(epoch: 99, iters: 216, time: 0.009, data: 0.002) G_GAN: 0.625 G_L1: 24.259 D_real: 1.485 D_fake: 0.094 
(epoch: 100, iters: 108, time: 0.009, data: 0.002) G_GAN: 1.976 G_L1: 25.794 D_real: 0.185 D_fake: 0.641 
(epoch: 100, iters: 408, time: 0.036, data: 0.002) G_GAN: 1.042 G_L1: 23.754 D_real: 2.910 D_fake: 0.030 
(epoch: 101, iters: 300, time: 0.009, data: 6.861) G_GAN: 2.459 G_L1: 25.279 D_real: 0.035 D_fake: 1.334 
(epoch: 102, iters: 192, time: 0.009, data: 0.001) G_GAN: 1.392 G_L1: 24.755 D_real: 0.623 D_fake: 0.214 
(epoch: 103, iters: 84, time: 0.010, data: 0.001) G_GAN: 1.839 G_L1: 26.411 D_real: 0.193 D_fake: 0.450 
(epoch: 103, iters: 384, time: 0.033, data: 0.002) G_GAN: 1.924 G_L1: 24.347 D_real: 0.438 D_fake: 0.221 
(epoch: 104, iters: 276, time: 0.009, data: 0.003) G_GAN: 2.230 G_L1: 22.640 D_real: 0.146 D_fake: 0.438 
(epoch: 105, iters: 168, time: 0.009, data: 0.003) G_GAN: 1.266 G_L1: 24.167 D_real: 0.458 D_fake: 0.168 
(epoch: 106, iters: 60, time: 0.009, data: 0.002) G_GAN: 0.818 G_L1: 24.399 D_real: 1.067 D_fake: 0.065 
(epoch: 106, iters: 360, time: 0.033, data: 0.002) G_GAN: 1.059 G_L1: 24.025 D_real: 0.348 D_fake: 0.690 
(epoch: 107, iters: 252, time: 0.007, data: 0.002) G_GAN: 1.258 G_L1: 24.485 D_real: 0.603 D_fake: 0.138 
(epoch: 108, iters: 144, time: 0.007, data: 0.002) G_GAN: 1.162 G_L1: 25.762 D_real: 0.508 D_fake: 0.287 
(epoch: 109, iters: 36, time: 0.008, data: 0.003) G_GAN: 2.343 G_L1: 25.705 D_real: 0.083 D_fake: 0.937 
(epoch: 109, iters: 336, time: 0.034, data: 0.002) G_GAN: 1.978 G_L1: 24.643 D_real: 0.323 D_fake: 0.294 
(epoch: 110, iters: 228, time: 0.007, data: 0.002) G_GAN: 2.173 G_L1: 26.309 D_real: 0.106 D_fake: 1.700 
(epoch: 111, iters: 120, time: 0.007, data: 0.002) G_GAN: 1.509 G_L1: 26.776 D_real: 0.311 D_fake: 0.484 
